物件名,カテゴリー,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,面積,23区,都市名,路線,最寄駅,徒歩
グレイス平成,賃貸マンション,34,3,3,91000.0,7000.0,91000.0,0.0,3DK,54.5,葛飾区,東堀切２,京成本線,お花茶屋駅,7
グレイス平成,賃貸マンション,34,3,3,99000.0,7000.0,99000.0,0.0,3DK,54.5,葛飾区,東堀切２,京成本線,お花茶屋駅,7
グレイス平成,賃貸マンション,34,3,3,110000.0,7000.0,110000.0,0.0,3DK,54.5,葛飾区,東堀切２,京成本線,お花茶屋駅,7
ＪＲ常磐線 亀有駅 4階建 築31年,賃貸マンション,31,4,2,142000.0,10000.0,142000.0,142000.0,3LDK,79.62,足立区,中川４,ＪＲ常磐線,亀有駅,8
ラポール中川,賃貸マンション,31,4,2,142000.0,10000.0,142000.0,142000.0,3LDK,79.62,足立区,中川４,ＪＲ常磐線,亀有駅,8
東京メトロ日比谷線 三ノ輪駅 4階建 築17年,賃貸マンション,17,4,4,65000.0,3000.0,0.0,0.0,1K,14.51,荒川区,東日暮里１,東京メトロ日比谷線,三ノ輪駅,5
トパーズ諏訪野,賃貸マンション,10,5,2,115000.0,6000.0,0.0,172500.0,2LDK,61.52,葛飾区,高砂１,京成本線,青砥駅,12
京成本線 青砥駅 5階建 築10年,賃貸マンション,10,5,2,115000.0,6000.0,0.0,172500.0,2LDK,61.52,葛飾区,高砂１,京成本線,青砥駅,12
日暮里・舎人ライナー 赤土小学校前駅 4階建 築13年,賃貸マンション,13,4,4,88000.0,5000.0,0.0,88000.0,1K,30.12,荒川区,東尾久４,日暮里・舎人ライナー,赤土小学校前駅,7
赤塚グリーンハウス,賃貸マンション,30,2,2,100000.0,3000.0,100000.0,100000.0,2DK,42.12,板橋区,赤塚新町１,東京メトロ有楽町線,地下鉄赤塚駅,5
赤塚グリーンハウス,賃貸マンション,30,2,2,139000.0,3000.0,139000.0,139000.0,4LDK,58.04,板橋区,赤塚新町１,東京メトロ有楽町線,地下鉄赤塚駅,5
赤塚グリーンハウス,賃貸マンション,30,2,2,140000.0,3000.0,140000.0,140000.0,4LDK,58.04,板橋区,赤塚新町１,東京メトロ有楽町線,地下鉄赤塚駅,5
ベイシティ葛西2,賃貸マンション,24,14,11,132000.0,10000.0,132000.0,132000.0,2LDK,57.72,江戸川区,東葛西６,東京メトロ東西線,葛西駅,6
ベイシティ葛西2,賃貸マンション,24,14,13,132000.0,10000.0,132000.0,132000.0,2LDK,56.72,江戸川区,東葛西６,東京メトロ東西線,葛西駅,6
